Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:21.277r1,"urn:cite:hmt:vaimg.VA277RN-0447@0.136,0.2658,0.069,0.033",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msAint.hmt:21.277r2,"urn:cite:hmt:vaimg.VA277RN-0447@0.134,0.3994,0.055,0.0233",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msAint.hmt:21.277r3,"urn:cite:hmt:vaimg.VA277RN-0447@0.126,0.4189,0.072,0.0338",urn:cite:hmt:msA.277r

urn:cts:greekLit:tlg5026.msAint.hmt:21.277v1,"urn:cite:hmt:vaimg.VA277VN-0779@0.878,0.5968,0.051,0.0345",urn:cite:hmt:msA.277v

urn:cts:greekLit:tlg5026.msAint.hmt:21.278r1,"urn:cite:hmt:vaimg.VA278RN-0448@0.14,0.3281,0.051,0.0495",urn:cite:hmt:msA.278r
urn:cts:greekLit:tlg5026.msAint.hmt:21.278r2,"urn:cite:hmt:vaimg.VA278RN-0448@0.142,0.3956,0.055,0.0405",urn:cite:hmt:msA.278r

urn:cts:greekLit:tlg5026.msAint.hm:21.278v1, "urn:cite:hmt:vaimg.VA278VN-0780@0.846,0.3904,0.082,0.0255", urn:cite:hmt:msA.278v

urn:cts:greekLit:tlg5026.msAint.hmt:21.279r1,"urn:cite:hmt:vaimg.VA279RN-0449@0.111,0.1959,0.096,0.0848",urn:cite:hmt:msA.279r
urn:cts:greekLit:tlg5026.msAint.hmt:21.279r2,"urn:cite:hmt:vaimg.VA279RN-0449@0.117,0.4339,0.072,0.03",urn:cite:hmt:msA.279r

urn:cts:greekLit:tlg5026.msAint.hmt:21.279v1,"urn:cite:hmt:vaimg.VA279VN-0781@0.88,0.5743,0.026,0.03",urn:cite:hmt:msA.279v

urn:cts:greekLit:tlg5026.msAint.hmt:21.280r1,"urn:cite:hmt:vaimg.VA280RN-0450@0.128,0.292,0.068,0.0398",urn:cite:hmt:msA.280r
urn:cts:greekLit:tlg5026.msAint.hmt:21.280r2,"urn:cite:hmt:vaimg.VA280RN-0450@0.111,0.3851,0.08,0.0541",urn:cite:hmt:msA.280r
urn:cts:greekLit:tlg5026.msAint.hmt:21.280r3,"urn:cite:hmt:vaimg.VA280RN-0450@0.126,0.4865,0.065,0.03",urn:cite:hmt:msA.280r
urn:cts:greekLit:tlg5026.msAint.hmt:21.280r4,"urn:cite:hmt:vaimg.VA280RN-0450@0.109,0.5435,0.082,0.0405",urn:cite:hmt:msA.280r

urn:cts:greekLit:tlg5026.msAint.hmt:21.280v1,"urn:cite:hmt:vaimg.VA280VN-0782@0.852,0.2905,0.057,0.036",urn:cite:hmt:msA.280v
urn:cts:greekLit:tlg5026.msAint.hmt:21.280v2,"urn:cite:hmt:vaimg.VA280VN-0782@0.855,0.4212,0.058,0.0338",urn:cite:hmt:msA.280v
urn:cts:greekLit:tlg5026.msAint.hmt:21.280v3,"urn:cite:hmt:vaimg.VA280VN-0782@0.865,0.5961,0.059,0.048",urn:cite:hmt:msA.280v
urn:cts:greekLit:tlg5026.msAint.hmt:21.280v4,"urn:cite:hmt:vaimg.VA280VN-0782@0.879,0.6772,0.041,0.0255",urn:cite:hmt:msA.280v

urn:cts:greekLit:tlg5026.msAint.hmt:21.281r1,"urn:cite:hmt:vaimg.VA281RN-0451@0.613,0.6321,0.202,0.045",urn:cite:hmt:msA.281r
urn:cts:greekLit:tlg5026.msAint.hmt:21.281r2,"urn:cite:hmt:vaimg.VA281RN-0451@0.11,0.6051,0.067,0.0683",urn:cite:hmt:msA.281r

urn:cts:greekLit:tlg5026.msAint.hmt:21.281v1,"urn:cite:hmt:vaimg.VA281VN-0783@0.902,0.3746,0.033,0.0375",urn:cite:hmt:msA.281v
urn:cts:greekLit:tlg5026.msAint.hmt:21.281v2,"urn:cite:hmt:vaimg.VA281VN-0783@0.893,0.5225,0.046,0.0338",urn:cite:hmt:msA.281v
urn:cts:greekLit:tlg5026.msAint.hmt:21.281v3,"urn:cite:hmt:vaimg.VA281VN-0783@0.845,0.6171,0.094,0.0293",urn:cite:hmt:msA.281v

urn:cts:greekLit:tlg5026.msAint.hmt:21.282r1,"urn:cite:hmt:vaimg.VA282RN-0452@0.126,0.229,0.071,0.0315",urn:cite:hmt:msA.282r
