Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:21.277r1,"urn:cite:hmt:vaimg.VA277RN-0447@0.652,0.4032,0.165,0.0608",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msA.hmt:21.277r2,"urn:cite:hmt:vaimg.VA277RN-0447@0.641,0.4602,0.179,0.1201",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msA.hmt:21.277r3,"urn:cite:hmt:vaimg.VA277RN-0447@0.642,0.5743,0.187,0.0571",urn:cite:hmt:msA.277r

urn:cts:greekLit:tlg5026.msA.hmt:21.277v1,"urn:cite:hmt:vaimg.VA277VN-0779@0.235,0.4369,0.215,0.0511",urn:cite:hmt:msA.277v
urn:cts:greekLit:tlg5026.msA.hmt:21.277v2,"urn:cite:hmt:vaimg.VA277VN-0779@0.232,0.4805,0.221,0.0631",urn:cite:hmt:msA.277v
urn:cts:greekLit:tlg5026.msA.hmt:21.277v3,"urn:cite:hmt:vaimg.VA277VN-0779@0.224,0.5368,0.234,0.0495",urn:cite:hmt:msA.277v
urn:cts:greekLit:tlg5026.msA.hmt:21.277v4,"urn:cite:hmt:vaimg.VA277VN-0779@0.223,0.5811,0.223,0.1134",urn:cite:hmt:msA.277v
urn:cts:greekLit:tlg5026.msA.hmt:21.277v5,"urn:cite:hmt:vaimg.VA277VN-0779@0.213,0.6839,0.433,0.0541",urn:cite:hmt:msA.277v
urn:cts:greekLit:tlg5026.msA.hmt:21.277v6,"urn:cite:hmt:vaimg.VA277VN-0779@0.224,0.717,0.696,0.036",urn:cite:hmt:msA.277v

urn:cts:greekLit:tlg5026.msA.hmt:21.278r1,"urn:cite:hmt:vaimg.VA278RN-0448@0.646,0.292,0.171,0.0458",urn:cite:hmt:msA.278r
urn:cts:greekLit:tlg5026.msA.hmt:21.278r2,"urn:cite:hmt:vaimg.VA278RN-0448@0.651,0.3333,0.167,0.0916",urn:cite:hmt:msA.278r
urn:cts:greekLit:tlg5026.msA.hmt:21.278r3,"urn:cite:hmt:vaimg.VA278RN-0448@0.171,0.6952,0.325,0.0225",urn:cite:hmt:msA.278r
urn:cts:greekLit:tlg5026.msA.hmt:21.278r4,"urn:cite:hmt:vaimg.VA278RN-0448@0.177,0.6839,0.629,0.0563",urn:cite:hmt:msA.278r

urn:cts:greekLit:tlg5026.msA.hmt:21.278v1,"urn:cite:hmt:vaimg.VA278VN-0780@0.245,0.1081,0.634,0.0345",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v2,"urn:cite:hmt:vaimg.VA278VN-0780@0.238,0.1269,0.636,0.0293",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v3,"urn:cite:hmt:vaimg.VA278VN-0780@0.498,0.1336,0.397,0.0248",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v4,"urn:cite:hmt:vaimg.VA278VN-0780@0.257,0.1434,0.6,0.03",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v5,"urn:cite:hmt:vaimg.VA278VN-0780@0.238,0.5165,0.2,0.0398",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v6,"urn:cite:hmt:vaimg.VA278VN-0780@0.236,0.5526,0.208,0.0511",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v7,"urn:cite:hmt:vaimg.VA278VN-0780@0.229,0.6036,0.228,0.036",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v8,"urn:cite:hmt:vaimg.VA278VN-0780@0.238,0.6336,0.604,0.0976",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v9,"urn:cite:hmt:vaimg.VA278VN-0780@0.239,0.7245,0.679,0.0556",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v10,"urn:cite:hmt:vaimg.VA278VN-0780@0.236,0.7635,0.674,0.0315",urn:cite:hmt:msA.278v

urn:cts:greekLit:tlg5026.msA.hmt:21.279r1,"urn:cite:hmt:vaimg.VA279RN-0449@0.185,0.0901,0.636,0.0278",urn:cite:hmt:msA.279r
urn:cts:greekLit:tlg5026.msA.hmt:21.279r2,"urn:cite:hmt:vaimg.VA279RN-0449@0.603,0.47,0.213,0.0383",urn:cite:hmt:msA.279r
urn:cts:greekLit:tlg5026.msA.hmt:21.279r3,"urn:cite:hmt:vaimg.VA279RN-0449@0.603,0.494,0.213,0.0608",urn:cite:hmt:msA.279r
urn:cts:greekLit:tlg5026.msA.hmt:21.279r4,"urn:cite:hmt:vaimg.VA279RN-0449@0.164,0.5518,0.654,0.1637",urn:cite:hmt:msA.279r
urn:cts:greekLit:tlg5026.msA.hmt:21.279r5,"urn:cite:hmt:vaimg.VA279RN-0449@0.184,0.6974,0.625,0.0413",urn:cite:hmt:msA.279r
