Observation,TextUrn,Image,Comments
urn:cite:op:277r.01,urn:cts:greekLit:tlg0012.tlg001.msA:21.352@τ,"urn:cite:hmt:vaimg.VA277RN-0447@0.1987,0.2158,0.0207,0.01",
urn:cite:op:277r.02,urn:cts:greekLit:tlg0012.tlg001.msA:21.352@α,"urn:cite:hmt:vaimg.VA277RN-0447@0.2179,0.2159,0.0187,0.0079",
urn:cite:op:277r.03,urn:cts:greekLit:tlg0012.tlg001.msA:21.352@π,"urn:cite:hmt:vaimg.VA277RN-0447@0.2355,0.2154,0.0189,0.009",
urn:cite:op:277r.04,urn:cts:greekLit:tlg0012.tlg001.msA:21.352@ε,"urn:cite:hmt:vaimg.VA277RN-0447@0.2524,0.2111,0.0136,0.0117",
urn:cite:op:277r.05,urn:cts:greekLit:tlg0012.tlg001.msA:21.352@ρ,"urn:cite:hmt:vaimg.VA277RN-0447@0.2652,0.2154,0.0084,0.0125",
urn:cite:op:277r.06,urn:cts:greekLit:tlg0012.tlg001.msA:21.352@ι,"urn:cite:hmt:vaimg.VA277RN-0447@0.2752,0.2144,0.0051,0.0079",
urn:cite:op:277r.07,urn:cts:greekLit:tlg0012.tlg001.msA:21.352@κ,"urn:cite:hmt:vaimg.VA277RN-0447@0.2847,0.2104,0.0133,0.0138",
urn:cite:op:277r.08,urn:cts:greekLit:tlg0012.tlg001.msA:21.352@α[2],"urn:cite:hmt:vaimg.VA277RN-0447@0.2987,0.2167,0.012,0.0058",
urn:cite:op:277r.09,urn:cts:greekLit:tlg0012.tlg001.msA:21.352@λ,"urn:cite:hmt:vaimg.VA277RN-0447@0.3046,0.214,0.0171,0.0158",
urn:cite:op:277r.10,urn:cts:greekLit:tlg0012.tlg001.msA:21.352@α[3],"urn:cite:hmt:vaimg.VA277RN-0447@0.3197,0.2171,0.0177,0.006",
urn:cite:op:277r.11,urn:cts:greekLit:tlg0012.tlg001.msA:21.352@ρ[2],"urn:cite:hmt:vaimg.VA277RN-0447@0.3379,0.2173,0.0115,0.0133",
