Observation,TextUrn,Image,Comments
urn:cite:op:278rS.01,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@π,"urn:cite:hmt:vaimg.VA278RN-0448@0.6564,0.3069,0.0095,0.0051",
urn:cite:op:278rS.02,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@ε,"urn:cite:hmt:vaimg.VA278RN-0448@0.6659,0.3067,0.0035,0.004",
urn:cite:op:278rS.03,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@λ,"urn:cite:hmt:vaimg.VA278RN-0448@0.6737,0.3062,0.0067,0.0046",
urn:cite:op:278rS.04,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@ε[2],"urn:cite:hmt:vaimg.VA278RN-0448@0.6816,0.3071,0.0038,0.0042",
urn:cite:op:278rS.05,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@θ,"urn:cite:hmt:vaimg.VA278RN-0448@0.6877,0.3052,0.0073,0.0058",
urn:cite:op:278rS.06,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@ρ,"urn:cite:hmt:vaimg.VA278RN-0448@0.6937,0.307,0.0046,0.0063",
urn:cite:op:278rS.07,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@α,"urn:cite:hmt:vaimg.VA278RN-0448@0.7001,0.3062,0.0051,0.0039",
urn:cite:op:278rS.08,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@ὅτι,"urn:cite:hmt:vaimg.VA278RN-0448@0.717,0.3031,0.0148,0.008",common abbreviation for ὅτι 
urn:cite:op:278rS.09,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@τ,"urn:cite:hmt:vaimg.VA278RN-0448@0.7322,0.3084,0.0068,0.0039",
urn:cite:op:278rS.10,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@ο,"urn:cite:hmt:vaimg.VA278RN-0448@0.7386,0.3076,0.0033,0.0026",
urn:cite:op:278rS.11,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@π[2],"urn:cite:hmt:vaimg.VA278RN-0448@0.7463,0.3082,0.0081,0.0029",
urn:cite:op:278rS.12,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@λ,"urn:cite:hmt:vaimg.VA278RN-0448@0.7524,0.3061,0.009,0.0072",
urn:cite:op:278rS.13,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@ε[3],"urn:cite:hmt:vaimg.VA278RN-0448@0.7608,0.3037,0.0065,0.0057",
urn:cite:op:278rS.14,urn:cts:greekLit:tlg5026.msA:hmt:21.278r1@θ[2],"urn:cite:hmt:vaimg.VA278RN-0448@0.7675,0.3035,0.007,0.005",
