Observation,TextUrn,Image,Comments
urn:cite:op:279v.01,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@ω,"urn:cite:hmt:vaimg.VA279VN-0781@0.4985,0.2253,0.0212,0.0161",
urn:cite:op:279v.02,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@σ,"urn:cite:hmt:vaimg.VA279VN-0781@0.5172,0.2292,0.0156,0.0082",
urn:cite:op:279v.03,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@φ,"urn:cite:hmt:vaimg.VA279VN-0781@0.5306,0.2245,0.013,0.0194",
urn:cite:op:279v.04,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@α,"urn:cite:hmt:vaimg.VA279VN-0781@0.5443,0.2221,0.0156,0.0158",
urn:cite:op:279v.05,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@τ,"urn:cite:hmt:vaimg.VA279VN-0781@0.5569,0.2302,0.0114,0.0111",
urn:cite:op:279v.06,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@ο,"urn:cite:hmt:vaimg.VA279VN-0781@0.5653,0.2294,0.0086,0.0085",
urn:cite:op:279v.07,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@τ[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.582,0.2297,0.0182,0.0107",
urn:cite:op:279v.08,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@η,"urn:cite:hmt:vaimg.VA279VN-0781@0.5981,0.2226,0.0126,0.0171",
urn:cite:op:279v.09,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@ν,"urn:cite:hmt:vaimg.VA279VN-0781@0.6083,0.2289,0.0126,0.0117",
urn:cite:op:279v.10,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@δ,"urn:cite:hmt:vaimg.VA279VN-0781@0.6253,0.2235,0.0179,0.0213",
urn:cite:op:279v.11,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@ο[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.6442,0.2254,0.0095,0.0161",
urn:cite:op:279v.12,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@υ,"urn:cite:hmt:vaimg.VA279VN-0781@0.6519,0.232,0.0095,0.0077",
urn:cite:op:279v.13,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@τ[3],"urn:cite:hmt:vaimg.VA279VN-0781@0.6591,0.2306,0.0116,0.0122",
urn:cite:op:279v.14,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@ι,"urn:cite:hmt:vaimg.VA279VN-0781@0.6677,0.2266,0.0095,0.0166",
urn:cite:op:279v.15,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@π,"urn:cite:hmt:vaimg.VA279VN-0781@0.6768,0.2324,0.0165,0.0089",
urn:cite:op:279v.16,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@ρ,"urn:cite:hmt:vaimg.VA279VN-0781@0.6898,0.2332,0.0102,0.0136",
urn:cite:op:279v.17,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@ο[3],"urn:cite:hmt:vaimg.VA279VN-0781@0.7017,0.2329,0.0074,0.008",
urn:cite:op:279v.18,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@σ[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.7077,0.2332,0.0142,0.0077",
urn:cite:op:279v.19,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@ε,"urn:cite:hmt:vaimg.VA279VN-0781@0.7159,0.2228,0.0184,0.022",
urn:cite:op:279v.20,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@φ[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.7282,0.2236,0.0149,0.0267",
urn:cite:op:279v.21,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@η[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.7424,0.2306,0.0107,0.0115",
urn:cite:op:279v.22,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@ε[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.7557,0.2255,0.013,0.0173",
urn:cite:op:279v.23,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@κ,"urn:cite:hmt:vaimg.VA279VN-0781@0.7676,0.2297,0.0135,0.0159",
urn:cite:op:279v.24,urn:cts:greekLit:tlg0012.tlg001.msA:21.478@α[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.7804,0.2235,0.0147,0.0204",
