Observation,TextUrn,Image,Comments
urn:cite:op:279vS.01,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@α,"urn:cite:hmt:vaimg.VA279VN-0781@0.2445,0.1138,0.0121,0.0098",
urn:cite:op:279vS.02,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@λ,"urn:cite:hmt:vaimg.VA279VN-0781@0.2546,0.1142,0.0091,0.0079",
urn:cite:op:279vS.03,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@λ[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.2607,0.1142,0.0091,0.0079",
urn:cite:op:279vS.04,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@α[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.2677,0.1138,0.0081,0.0064",
urn:cite:op:279vS.05,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@χ,"urn:cite:hmt:vaimg.VA279VN-0781@0.2738,0.1138,0.0131,0.0117",
urn:cite:op:279vS.06,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ο,"urn:cite:hmt:vaimg.VA279VN-0781@0.2833,0.1157,0.0045,0.0049",
urn:cite:op:279vS.07,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@λ[3],"urn:cite:hmt:vaimg.VA279VN-0781@0.2894,0.1146,0.0076,0.0064",
urn:cite:op:279vS.08,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ω,"urn:cite:hmt:vaimg.VA279VN-0781@0.2979,0.115,0.0081,0.0053",
urn:cite:op:279vS.09,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@σ,"urn:cite:hmt:vaimg.VA279VN-0781@0.306,0.1165,0.006,0.0042",
urn:cite:op:279vS.10,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@α[3],"urn:cite:hmt:vaimg.VA279VN-0781@0.3115,0.1154,0.0076,0.006",
urn:cite:op:279vS.11,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@μ,"urn:cite:hmt:vaimg.VA279VN-0781@0.3201,0.1161,0.0106,0.006",
urn:cite:op:279vS.12,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ε,"urn:cite:hmt:vaimg.VA279VN-0781@0.3302,0.1161,0.005,0.0064",
urn:cite:op:279vS.13,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ν,"urn:cite:hmt:vaimg.VA279VN-0781@0.3362,0.1169,0.0081,0.0057",
urn:cite:op:279vS.14,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@η,"urn:cite:hmt:vaimg.VA279VN-0781@0.3443,0.1172,0.0055,0.0045",
urn:cite:op:279vS.15,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ὅτι,"urn:cite:hmt:vaimg.VA279VN-0781@0.3574,0.1157,0.0136,0.0087",
urn:cite:op:279vS.16,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@κ,"urn:cite:hmt:vaimg.VA279VN-0781@0.372,0.1154,0.0101,0.011",
urn:cite:op:279vS.17,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ο[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.3821,0.1191,0.004,0.0042",
urn:cite:op:279vS.18,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ι,"urn:cite:hmt:vaimg.VA279VN-0781@0.3856,0.1188,0.005,0.0049",
urn:cite:op:279vS.19,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ν[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.3886,0.1184,0.0096,0.006",
urn:cite:op:279vS.20,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ο[3],"urn:cite:hmt:vaimg.VA279VN-0781@0.3977,0.1195,0.0076,0.0038",
urn:cite:op:279vS.21,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ν[3],"urn:cite:hmt:vaimg.VA279VN-0781@0.4037,0.118,0.0071,0.0079",
urn:cite:op:279vS.22,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@δ,"urn:cite:hmt:vaimg.VA279VN-0781@0.4098,0.115,0.0086,0.0102",
urn:cite:op:279vS.23,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ει,"urn:cite:hmt:vaimg.VA279VN-0781@0.4178,0.1154,0.0111,0.0125", common ligature for ει
urn:cite:op:279vS.24,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@δ[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.4259,0.1176,0.0086,0.0064",
urn:cite:op:279vS.25,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ει[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.4324,0.1172,0.0076,0.0064", common ligature for ει
urn:cite:op:279vS.26,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ξ,"urn:cite:hmt:vaimg.VA279VN-0781@0.4365,0.1195,0.0076,0.011",
urn:cite:op:279vS.27,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@α[4],"urn:cite:hmt:vaimg.VA279VN-0781@0.444,0.1199,0.0076,0.0034",
urn:cite:op:279vS.28,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@σ[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.4511,0.1195,0.0055,0.0045",
urn:cite:op:279vS.29,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@θε,"urn:cite:hmt:vaimg.VA279VN-0781@0.4536,0.1161,0.0086,0.0125", θ with common ending
urn:cite:op:279vS.30,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@τ,"urn:cite:hmt:vaimg.VA279VN-0781@0.4652,0.1191,0.0106,0.0057",
urn:cite:op:279vS.31,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ο[4],"urn:cite:hmt:vaimg.VA279VN-0781@0.4752,0.1206,0.0055,0.0034",
urn:cite:op:279vS.32,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@π,"urn:cite:hmt:vaimg.VA279VN-0781@0.4828,0.1203,0.0086,0.0057",
urn:cite:op:279vS.33,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ρ,"urn:cite:hmt:vaimg.VA279VN-0781@0.4904,0.1206,0.006,0.0091",
urn:cite:op:279vS.34,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ο[5],"urn:cite:hmt:vaimg.VA279VN-0781@0.4964,0.121,0.0055,0.0034",
urn:cite:op:279vS.35,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@σ[3],"urn:cite:hmt:vaimg.VA279VN-0781@0.5014,0.1199,0.0081,0.0053",
urn:cite:op:279vS.36,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@ε,"urn:cite:hmt:vaimg.VA279VN-0781@0.507,0.1176,0.0091,0.0072",
urn:cite:op:279vS.37,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@φ,"urn:cite:hmt:vaimg.VA279VN-0781@0.5125,0.115,0.0076,0.0121",
urn:cite:op:279vS.38,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@η[2],"urn:cite:hmt:vaimg.VA279VN-0781@0.5191,0.1184,0.0071,0.0076",
urn:cite:op:279vS.39,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@α[5],"urn:cite:hmt:vaimg.VA279VN-0781@0.5342,0.1203,0.0096,0.0049",
urn:cite:op:279vS.40,urn:cts:greekLit:tlg5026.msA:hmt:21.279v1@λ[4],"urn:cite:hmt:vaimg.VA279VN-0781@0.5422,0.1206,0.0081,0.0068",
