Observation,TextUrn,Image,Comments
urn:cite:op:281v.01,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ο,"urn:cite:hmt:vaimg.VA281VN-0783@0.511,0.2342,0.0081,0.0098",
urn:cite:op:281v.02,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@υ,"urn:cite:hmt:vaimg.VA281VN-0783@0.5193,0.2343,0.0106,0.0074",
urn:cite:op:281v.03,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@κ,"urn:cite:hmt:vaimg.VA281VN-0783@0.5331,0.2304,0.0109,0.0108",
urn:cite:op:281v.04,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ε,"urn:cite:hmt:vaimg.VA281VN-0783@0.545,0.2313,0.01,0.0108",
urn:cite:op:281v.05,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@θ,"urn:cite:hmt:vaimg.VA281VN-0783@0.5546,0.2308,0.0083,0.0113",
urn:cite:op:281v.06,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ε[2],"urn:cite:hmt:vaimg.VA281VN-0783@0.5625,0.2313,0.0094,0.0102",
urn:cite:op:281v.07,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@λ,"urn:cite:hmt:vaimg.VA281VN-0783@0.5678,0.2302,0.0162,0.0161",
urn:cite:op:281v.08,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ε[3],"urn:cite:hmt:vaimg.VA281VN-0783@0.5812,0.2302,0.0104,0.0113",
urn:cite:op:281v.09,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ν,"urn:cite:hmt:vaimg.VA281VN-0783@0.5916,0.2332,0.0121,0.0115",
urn:cite:op:281v.10,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@φ,"urn:cite:hmt:vaimg.VA281VN-0783@0.6036,0.2281,0.0121,0.018",
urn:cite:op:281v.11,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ε[4],"urn:cite:hmt:vaimg.VA281VN-0783@0.6172,0.2325,0.0094,0.0096",
urn:cite:op:281v.12,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@υ[2],"urn:cite:hmt:vaimg.VA281VN-0783@0.627,0.2333,0.0096,0.0093",
urn:cite:op:281v.13,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@γ,"urn:cite:hmt:vaimg.VA281VN-0783@0.6334,0.2338,0.0087,0.014",
urn:cite:op:281v.14,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ε[5],"urn:cite:hmt:vaimg.VA281VN-0783@0.6402,0.2347,0.0079,0.0085",
urn:cite:op:281v.15,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ι,"urn:cite:hmt:vaimg.VA281VN-0783@0.6479,0.2347,0.0047,0.0076",
urn:cite:op:281v.16,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ν[2],"urn:cite:hmt:vaimg.VA281VN-0783@0.6534,0.2356,0.0096,0.0106",
urn:cite:op:281v.17,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@π,"urn:cite:hmt:vaimg.VA281VN-0783@0.6719,0.236,0.0155,0.0092",
urn:cite:op:281v.18,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ρ,"urn:cite:hmt:vaimg.VA281VN-0783@0.687,0.237,0.0087,0.0108,
urn:cite:op:281v.19,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ι[2],"urn:cite:hmt:vaimg.VA281VN-0783@0.6957,0.2367,0.0066,0.0078  ",
urn:cite:op:281v.20,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ν[3],"urn:cite:hmt:vaimg.VA281VN-0783@0.7036,0.2371,0.0102,0.0092",
urn:cite:op:281v.21,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@π[2],"urn:cite:hmt:vaimg.VA281VN-0783@0.7175,0.235,0.0177,0.0119",
urn:cite:op:281v.22,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ει,"urn:cite:hmt:vaimg.VA281VN-0783@0.7345,0.2316,0.0151,0.0184",ει ligature
urn:cite:op:281v.23,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ρ[2],"urn:cite:hmt:vaimg.VA281VN-0783@0.7455,0.2371,0.0096,0.0108",
urn:cite:op:281v.24,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@η,"urn:cite:hmt:vaimg.VA281VN-0783@0.756,0.2362,0.0096,0.0091",
urn:cite:op:281v.25,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@σ,"urn:cite:hmt:vaimg.VA281VN-0783@0.767,0.2376,0.0109,0.0082",
urn:cite:op:281v.26,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@α,"urn:cite:hmt:vaimg.VA281VN-0783@0.7785,0.2373,0.0111,0.0079",
urn:cite:op:281v.27,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ι[3],"urn:cite:hmt:vaimg.VA281VN-0783@0.7892,0.2377,0.0053,0.0092",
urn:cite:op:281v.28,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@τ,"urn:cite:hmt:vaimg.VA281VN-0783@0.7953,0.2381,0.0174,0.0102",
urn:cite:op:281v.29,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@α[2],"urn:cite:hmt:vaimg.VA281VN-0783@0.812,0.2381,0.0091,0.0074",
urn:cite:op:281v.30,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@χ,"urn:cite:hmt:vaimg.VA281VN-0783@0.8184,0.2384,0.0166,0.0127",
urn:cite:op:281v.31,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ι[4],"urn:cite:hmt:vaimg.VA281VN-0783@0.8322,0.2376,0.0057,0.01",
urn:cite:op:281v.32,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@λ[2],"urn:cite:hmt:vaimg.VA281VN-0783@0.839,0.2362,0.0123,0.0105",
urn:cite:op:281v.33,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@η[2],"urn:cite:hmt:vaimg.VA281VN-0783@0.8503,0.2379,0.0089,0.0081",
urn:cite:op:281v.34,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@ο[2],"urn:cite:hmt:vaimg.VA281VN-0783@0.8592,0.2384,0.006,0.0074",
urn:cite:op:281v.35,urn:cts:greekLit:tlg0012.tlg001.msA:21.580@σ[2],"urn:cite:hmt:vaimg.VA281VN-0783@0.866,0.2367,0.0158,0.0096",
