Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:21.277r1,"urn:cite:hmt:vaimg.VA277RN-0447@0.396,0.2643,0.067,0.0165",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msAil.hmt:21.277r2,"urn:cite:hmt:vaimg.VA277RN-0447@0.474,0.3776,0.054,0.015",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msAil.hmt:21.277r3,"urn:cite:hmt:vaimg.VA277RN-0447@0.472,0.3964,0.07,0.0135",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msAil.hmt:21.277r4,"urn:cite:hmt:vaimg.VA277RN-0447@0.343,0.4129,0.071,0.0195",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msAil.hmt:21.277r5,"urn:cite:hmt:vaimg.VA277RN-0447@0.313,0.4354,0.087,0.0158",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msAil.hmt:21.277r6,"urn:cite:hmt:vaimg.VA277RN-0447@0.542,0.4354,0.08,0.018",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msAil.hmt:21.277r7,"urn:cite:hmt:vaimg.VA277RN-0447@0.526,0.4715,0.126,0.0158",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msAil.hmt:21.277r8,"urn:cite:hmt:vaimg.VA277RN-0447@0.505,0.5293,0.062,0.018",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msAil.hmt:21.277r9,"urn:cite:hmt:vaimg.VA277RN-0447@0.583,0.5278,0.045,0.0188",urn:cite:hmt:msA.277r

urn:cts:greekLit:tlg5026.msAil.hmt:21.277v1,"urn:cite:hmt:vaimg.VA277VN-0779@0.878,0.2875,0.056,0.0128",urn:cite:hmt:msA.277v
urn:cts:greekLit:tlg5026.msAil.hmt:21.277v2,"urn:cite:hmt:vaimg.VA277VN-0779@0.79,0.3799,0.075,0.015",urn:cite:hmt:msA.277v
urn:cts:greekLit:tlg5026.msAil.hmt:21.277v3,"urn:cite:hmt:vaimg.VA277VN-0779@0.837,0.3979,0.091,0.0195",urn:cite:hmt:msA.277v
urn:cts:greekLit:tlg5026.msAil.hmt:21.277v4,"urn:cite:hmt:vaimg.VA277VN-0779@0.503,0.5068,0.171,0.0188",urn:cite:hmt:msA.277v
urn:cts:greekLit:tlg5026.msAil.hmt:21.277v5,"urn:cite:hmt:vaimg.VA277VN-0779@0.59,0.5631,0.071,0.0165",urn:cite:hmt:msA.277v
urn:cts:greekLit:tlg5026.msAil.hmt:21.277v6,"urn:cite:hmt:vaimg.VA277VN-0779@0.845,0.6171,0.054,0.024",urn:cite:hmt:msA.277v

urn:cts:greekLit:tlg5026.msAil.hmt:21.278r1,"urn:cite:hmt:vaimg.VA278RN-0448@0.219,0.3536,0.039,0.021",urn:cite:hmt:msA.278r

urn:cts:greekLit:tlg5026.msAil.hmt:21.278v1,"urn:cite:hmt:vaimg.VA278VN-0780@0.638,0.6764,0.075,0.0173",urn:cite:hmt:msA.278v

urn:cts:greekLit:tlg5026.msAil.hmt:21.279r1,"urn:cite:hmt:vaimg.VA279RN-0449@0.532,0.214,0.052,0.021",urn:cite:hmt:msA.279r
urn:cts:greekLit:tlg5026.msAil.hmt:21.279r2,"urn:cite:hmt:vaimg.VA279RN-0449@0.425,0.2575,0.107,0.018",urn:cite:hmt:msA.279r
urn:cts:greekLit:tlg5026.msAil.hmt:21.279r3,"urn:cite:hmt:vaimg.VA279RN-0449@0.221,0.3236,0.104,0.0263",urn:cite:hmt:msA.279r
urn:cts:greekLit:tlg5026.msAil.hmt:21.279r4,"urn:cite:hmt:vaimg.VA279RN-0449@0.221,0.3236,0.104,0.0263",urn:cite:hmt:msA.279r
urn:cts:greekLit:tlg5026.msAil.hmt:21.279r5,"urn:cite:hmt:vaimg.VA279RN-0449@0.369,0.5758,0.071,0.0173",urn:cite:hmt:msA.279r

urn:cts:greekLit:tlg5026.msAil.hmt:21.279v1,"urn:cite:hmt:vaimg.VA279VN-0781@0.783,0.3041,0.108,0.015",urn:cite:hmt:msA.279v
urn:cts:greekLit:tlg5026.msAil.hmt:21.279v2,"urn:cite:hmt:vaimg.VA279VN-0781@0.838,0.4137,0.069,0.015",urn:cite:hmt:msA.279v
urn:cts:greekLit:tlg5026.msAil.hmt:21.279v3,"urn:cite:hmt:vaimg.VA279VN-0781@0.813,0.4332,0.066,0.0135",urn:cite:hmt:msA.279v
urn:cts:greekLit:tlg5026.msAil.hmt:21.279v4,"urn:cite:hmt:vaimg.VA279VN-0781@0.568,0.4677,0.112,0.0113",urn:cite:hmt:msA.279v
urn:cts:greekLit:tlg5026.msAil.hmt:21.279v5,"urn:cite:hmt:vaimg.VA279VN-0781@0.657,0.4865,0.081,0.012",urn:cite:hmt:msA.279v
urn:cts:greekLit:tlg5026.msAil.hmt:21.279v6,"urn:cite:hmt:vaimg.VA279VN-0781@0.523,0.5225,0.058,0.012",urn:cite:hmt:msA.279v
urn:cts:greekLit:tlg5026.msAil.hmt:21.279v7,"urn:cite:hmt:vaimg.VA279VN-0781@0.5,0.6021,0.125,0.009",urn:cite:hmt:msA.279v
urn:cts:greekLit:tlg5026.msAil.hmt:21.279v8,"urn:cite:hmt:vaimg.VA279VN-0781@0.643,0.6201,0.068,0.0135",urn:cite:hmt:msA.279v

