Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:21.277r1,"urn:cite:hmt:vaimg.VA277RN-0447@0.642,0.2215,0.117,0.0323",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msAim.hmt:21.277r2,"urn:cite:hmt:vaimg.VA277RN-0447@0.619,0.2808,0.084,0.0338",urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg5026.msAim.hmt:21.277r3,"urn:cite:hmt:vaimg.VA277RN-0447@0.582,0.545,0.078,0.0533",urn:cite:hmt:msA.277r

urn:cts:greekLit:tlg5026.msAim.hmt:21.277v1,"urn:cite:hmt:vaimg.VA277VN-0779@0.431,0.4189,0.057,0.0263",urn:cite:hmt:msA.277v
urn:cts:greekLit:tlg5026.msAim.hmt:21.277v2,"urn:cite:hmt:vaimg.VA277VN-0779@0.433,0.5968,0.055,0.0338",urn:cite:hmt:msA.277v
urn:cts:greekLit:tlg5026.msAim.hmt:21.277v3,"urn:cite:hmt:vaimg.VA277VN-0779@0.424,0.6667,0.069,0.0248",urn:cite:hmt:msA.277v


urn:cts:greekLit:tlg5026.msAim.hmt:21.278r1,"urn:cite:hmt:vaimg.VA278RN-0448@0.62,0.2215,0.069,0.0263",urn:cite:hmt:msA.278r
urn:cts:greekLit:tlg5026.msAim.hmt:21.278r2,"urn:cite:hmt:vaimg.VA278RN-0448@0.623,0.3671,0.043,0.042",urn:cite:hmt:msA.278r
urn:cts:greekLit:tlg5026.msAim.hmt:21.278r3,"urn:cite:hmt:vaimg.VA278RN-0448@0.622,0.4332,0.041,0.0308",urn:cite:hmt:msA.278r
urn:cts:greekLit:tlg5026.msAim.hmt:21.278r4,"urn:cite:hmt:vaimg.VA278RN-0448@0.617,0.4685,0.06,0.0353",urn:cite:hmt:msA.278r
urn:cts:greekLit:tlg5026.msAim.hmt:21.278r5,"urn:cite:hmt:vaimg.VA278RN-0448@0.614,0.5593,0.067,0.0338",urn:cite:hmt:msA.278r
urn:cts:greekLit:tlg5026.msAim.hmt:21.278r6,"urn:cite:hmt:vaimg.VA278RN-0448@0.599,0.6607,0.078,0.027",urn:cite:hmt:msA.278r

urn:cts:greekLit:tlg5026.msAim.hmt:21.278v1,"urn:cite:hmt:vaimg.VA278VN-0780@0.427,0.223,0.072,0.0323",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msAim.hmt:21.278v2,"urn:cite:hmt:vaimg.VA278VN-0780@0.438,0.2973,0.059,0.033",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msAim.hmt:21.278v3,"urn:cite:hmt:vaimg.VA278VN-0780@0.433,0.3393,0.062,0.0293",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msAim.hmt:21.278v4,"urn:cite:hmt:vaimg.VA278VN-0780@0.439,0.3776,0.064,0.048",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msAim.hmt:21.278v5,"urn:cite:hmt:vaimg.VA278VN-0780@0.428,0.4812,0.077,0.0631",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msAim.hmt:21.278v6,"urn:cite:hmt:vaimg.VA278VN-0780@0.432,0.5608,0.067,0.0338",urn:cite:hmt:msA.278v

urn:cts:greekLit:tlg5026.msAim.hmt:21.279r1,"urn:cite:hmt:vaimg.VA279RN-0449@0.623,0.2327,0.087,0.0428",urn:cite:hmt:msA.279r
urn:cts:greekLit:tlg5026.msAim.hmt:21.279r2,"urn:cite:hmt:vaimg.VA279RN-0449@0.595,0.4505,0.085,0.0218",urn:cite:hmt:msA.279r
urn:cts:greekLit:tlg5026.msAim.hmt:21.279r3,"urn:cite:hmt:vaimg.VA279RN-0449@0.574,0.5443,0.046,0.0465",urn:cite:hmt:msA.279r
urn:cts:greekLit:tlg5026.msAim.hmt:21.279r4, "urn:cite:hmt:vaimg.VA279RN-0449@0.616,0.4309,0.028,0.0225", urn:cite:hmt:msA.279r

urn:cts:greekLit:tlg5026.msAim.hmt:21.279v1,"urn:cite:hmt:vaimg.VA279VN-0781@0.448,0.3686,0.054,0.0488",urn:cite:hmt:msA.279v
