Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:21.278v1,"urn:cite:hmt:vaimg.VA278VN-0780@0.245,0.1081,0.634,0.0345",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v2,"urn:cite:hmt:vaimg.VA278VN-0780@0.238,0.1269,0.636,0.0293",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v3,"urn:cite:hmt:vaimg.VA278VN-0780@0.498,0.1336,0.397,0.0248",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v4,"urn:cite:hmt:vaimg.VA278VN-0780@0.257,0.1434,0.6,0.03",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v5,"urn:cite:hmt:vaimg.VA278VN-0780@0.238,0.5165,0.2,0.0398",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v6,"urn:cite:hmt:vaimg.VA278VN-0780@0.236,0.5526,0.208,0.0511",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v7,"urn:cite:hmt:vaimg.VA278VN-0780@0.229,0.6036,0.228,0.036",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v8,"urn:cite:hmt:vaimg.VA278VN-0780@0.238,0.6336,0.604,0.0976",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v9,"urn:cite:hmt:vaimg.VA278VN-0780@0.239,0.7245,0.679,0.0556",urn:cite:hmt:msA.278v
urn:cts:greekLit:tlg5026.msA.hmt:21.278v10,"urn:cite:hmt:vaimg.VA278VN-0780@0.236,0.7635,0.674,0.0315",urn:cite:hmt:msA.278v
