Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:21.352,"urn:cite:hmt:vaimg.VA277RN-0447@0.196,0.202,0.449,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:21.353,"urn:cite:hmt:vaimg.VA277RN-0447@0.194,0.2275,0.449,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:21.354,"urn:cite:hmt:vaimg.VA277RN-0447@0.202,0.2477,0.449,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:21.355,"urn:cite:hmt:vaimg.VA277RN-0447@0.198,0.268,0.367,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:21.356,"urn:cite:hmt:vaimg.VA277RN-0447@0.197,0.2853,0.427,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.357,"urn:cite:hmt:vaimg.VA277RN-0447@0.197,0.3026,0.417,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.358,"urn:cite:hmt:vaimg.VA277RN-0447@0.197,0.3228,0.417,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.359,"urn:cite:hmt:vaimg.VA277RN-0447@0.191,0.3401,0.432,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.360,"urn:cite:hmt:vaimg.VA277RN-0447@0.194,0.3604,0.416,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:21.361,"urn:cite:hmt:vaimg.VA277RN-0447@0.196,0.3806,0.442,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.362,"urn:cite:hmt:vaimg.VA277RN-0447@0.195,0.3979,0.457,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:21.363,"urn:cite:hmt:vaimg.VA277RN-0447@0.204,0.4159,0.421,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:21.364,"urn:cite:hmt:vaimg.VA277RN-0447@0.196,0.4369,0.462,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.365,"urn:cite:hmt:vaimg.VA277RN-0447@0.195,0.4527,0.433,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.366,"urn:cite:hmt:vaimg.VA277RN-0447@0.197,0.4715,0.438,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.367,"urn:cite:hmt:vaimg.VA277RN-0447@0.195,0.494,0.417,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.368,"urn:cite:hmt:vaimg.VA277RN-0447@0.195,0.5113,0.439,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:21.369,"urn:cite:hmt:vaimg.VA277RN-0447@0.195,0.5308,0.43,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:21.370,"urn:cite:hmt:vaimg.VA277RN-0447@0.195,0.5503,0.402,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:21.371,"urn:cite:hmt:vaimg.VA277RN-0447@0.197,0.5683,0.41,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:21.372,"urn:cite:hmt:vaimg.VA277RN-0447@0.195,0.5856,0.429,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:21.373,"urn:cite:hmt:vaimg.VA277RN-0447@0.188,0.6044,0.451,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:21.374,"urn:cite:hmt:vaimg.VA277RN-0447@0.196,0.6239,0.437,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:21.375,"urn:cite:hmt:vaimg.VA277RN-0447@0.194,0.6419,0.443,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.376,"urn:cite:hmt:vaimg.VA277RN-0447@0.195,0.6622,0.407,0.0278"

urn:cts:greekLit:tlg0012.tlg001.msA:21.377,"urn:cite:hmt:vaimg.VA277VN-0779@0.482,0.2222,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.378,"urn:cite:hmt:vaimg.VA277VN-0779@0.484,0.2462,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.379,"urn:cite:hmt:vaimg.VA277VN-0779@0.484,0.2635,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.380,"urn:cite:hmt:vaimg.VA277VN-0779@0.484,0.283,0.444,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:21.381,"urn:cite:hmt:vaimg.VA277VN-0779@0.476,0.3041,0.456,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:21.382,"urn:cite:hmt:vaimg.VA277VN-0779@0.477,0.3236,0.456,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:21.383,"urn:cite:hmt:vaimg.VA277VN-0779@0.473,0.3431,0.456,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:21.384,"urn:cite:hmt:vaimg.VA277VN-0779@0.469,0.3619,0.456,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:21.385,"urn:cite:hmt:vaimg.VA277VN-0779@0.469,0.3791,0.456,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.386,"urn:cite:hmt:vaimg.VA277VN-0779@0.47,0.3986,0.456,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.387,"urn:cite:hmt:vaimg.VA277VN-0779@0.47,0.4167,0.456,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.388,"urn:cite:hmt:vaimg.VA277VN-0779@0.465,0.4362,0.456,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.389,"urn:cite:hmt:vaimg.VA277VN-0779@0.461,0.4527,0.456,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.390,"urn:cite:hmt:vaimg.VA277VN-0779@0.457,0.473,0.456,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.391,"urn:cite:hmt:vaimg.VA277VN-0779@0.458,0.4895,0.456,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.392,"urn:cite:hmt:vaimg.VA277VN-0779@0.452,0.5075,0.456,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.393,"urn:cite:hmt:vaimg.VA277VN-0779@0.464,0.5278,0.456,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.394,"urn:cite:hmt:vaimg.VA277VN-0779@0.464,0.5488,0.456,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.395,"urn:cite:hmt:vaimg.VA277VN-0779@0.463,0.5623,0.456,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.396,"urn:cite:hmt:vaimg.VA277VN-0779@0.461,0.5826,0.456,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.397,"urn:cite:hmt:vaimg.VA277VN-0779@0.458,0.6021,0.456,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.398,"urn:cite:hmt:vaimg.VA277VN-0779@0.457,0.6194,0.456,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.399,"urn:cite:hmt:vaimg.VA277VN-0779@0.458,0.6389,0.456,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.400,"urn:cite:hmt:vaimg.VA277VN-0779@0.458,0.6569,0.456,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:21.401,"urn:cite:hmt:vaimg.VA277VN-0779@0.456,0.6749,0.456,0.0308"

urn:cts:greekLit:tlg0012.tlg001.msA:21.402,"urn:cite:hmt:vaimg.VA278RN-0448@0.193,0.1967,0.445,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:21.403,"urn:cite:hmt:vaimg.VA278RN-0448@0.191,0.2207,0.445,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:21.404,"urn:cite:hmt:vaimg.VA278RN-0448@0.196,0.2395,0.445,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:21.405,"urn:cite:hmt:vaimg.VA278RN-0448@0.195,0.262,0.445,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:21.406,"urn:cite:hmt:vaimg.VA278RN-0448@0.187,0.2785,0.445,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:21.407,"urn:cite:hmt:vaimg.VA278RN-0448@0.196,0.3011,0.45,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:21.408,"urn:cite:hmt:vaimg.VA278RN-0448@0.195,0.3176,0.45,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:21.409,"urn:cite:hmt:vaimg.VA278RN-0448@0.193,0.3341,0.45,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:21.410,"urn:cite:hmt:vaimg.VA278RN-0448@0.188,0.3529,0.45,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:21.411,"urn:cite:hmt:vaimg.VA278RN-0448@0.188,0.3739,0.45,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:21.412,"urn:cite:hmt:vaimg.VA278RN-0448@0.183,0.3919,0.45,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:21.413,"urn:cite:hmt:vaimg.VA278RN-0448@0.18,0.4099,0.45,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:21.414,"urn:cite:hmt:vaimg.VA278RN-0448@0.182,0.4294,0.45,0.033"
